YYYY MM DD hh mm DIR SPD GDR GSP GMN
2002 12 31 23 10 154 12.2 999 99.0 99
2002 12 31 23 20 157 13.0 999 99.0 99
2002 12 31 23 30 156 12.8 999 99.0 99
2002 12 31 23 40 150 13.4 999 99.0 99
2002 12 31 23 50 151 13.4 999 99.0 99
2003 01 01 00 00 149 14.1 151 16.3 56
2003 01 01 00 10 151 13.8 999 99.0 99
2003 01 01 00 20 148 14.1 999 99.0 99
2003 01 01 00 30 147 13.8 999 99.0 99
2003 01 01 00 40 151 14.6 999 99.0 99
2003 01 01 00 50 151 14.7 999 99.0 99
2003 01 01 01 00 151 15.8 155 18.8 59
2003 01 01 01 10 153 15.6 999 99.0 99
2003 01 01 01 20 152 14.7 999 99.0 99
2003 01 01 01 30 152 15.6 999 99.0 99
2003 01 01 01 40 153 15.4 999 99.0 99
2003 01 01 01 50 153 15.1 999 99.0 99
2003 01 01 02 00 154 15.9 157 18.4 52
2003 01 01 02 10 154 15.0 999 99.0 99
2003 01 01 02 20 154 14.7 999 99.0 99
2003 01 01 02 30 156 15.9 999 99.0 99
2003 01 01 02 40 158 15.2 999 99.0 99
2003 01 01 02 50 162 14.7 999 99.0 99
2003 01 01 03 00 163 14.8 153 18.9 8
2003 01 01 03 10 163 15.0 999 99.0 99
2003 01 01 03 20 162 15.4 999 99.0 99
2003 01 01 03 30 161 15.3 999 99.0 99
2003 01 01 03 40 160 14.3 999 99.0 99
2003 01 01 03 50 160 15.4 999 99.0 99
2003 01 01 04 00 162 15.1 160 18.8 23
2003 01 01 04 10 161 14.6 999 99.0 99
2003 01 01 04 20 161 15.2 999 99.0 99
2003 01 01 04 30 172 14.0 999 99.0 99
2003 01 01 04 40 179 14.0 999 99.0 99
2003 01 01 04 50 181 13.2 999 99.0 99
2003 01 01 05 00 181 13.4 157 18.0 15
2003 01 01 05 10 187 14.3 999 99.0 99
2003 01 01 05 20 192 14.3 999 99.0 99
2003 01 01 05 30 188 14.0 999 99.0 99
2003 01 01 05 40 185 14.1 999 99.0 99
2003 01 01 05 50 189 13.0 999 99.0 99
2003 01 01 06 00 188 12.4 188 17.7 8
2003 01 01 06 10 189 12.7 999 99.0 99
2003 01 01 06 20 188 12.0 999 99.0 99
2003 01 01 06 30 183 11.4 999 99.0 99
2003 01 01 06 40 178 10.8 999 99.0 99
2003 01 01 06 50 174 11.3 999 99.0 99
2003 01 01 07 00 173 10.8 192 14.7 3
2003 01 01 07 10 172 11.1 999 99.0 99
2003 01 01 07 20 171 10.3 999 99.0 99
2003 01 01 07 30 174 9.7 999 99.0 99
2003 01 01 07 40 179 9.2 999 99.0 99
2003 01 01 07 50 187 9.3 999 99.0 99
2003 01 01 08 00 198 9.1 177 12.8 3
2003 01 01 08 10 199 8.7 999 99.0 99
2003 01 01 08 20 201 8.4 999 99.0 99
2003 01 01 08 30 205 7.4 999 99.0 99
2003 01 01 08 40 196 9.8 999 99.0 99
2003 01 01 08 50 193 9.3 999 99.0 99
